Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
202767,2,1,1,67,17,22427,5,18,2,65822,96470,1,4,24,68,51,25,2,45,29,3,1,2,2015-08-06,2018-11-02,2015-08-06,2018-10-16
202767,2,2,1,67,17,22427,5,18,2,65822,96470,1,4,24,68,51,25,2,45,29,3,1,2,2015-08-06,2018-11-02,2015-08-06,2018-10-16
203387,5,1,1,68,46,51191,1,22,3,18.8112,24.2923,2,25,43,69,47,60,2,46,1,24,1,1,2015-08-03,2018-11-02,2015-08-03,2018-10-16
204915,2,1,1,69,50,20617,3,11,2,50328,75516,1,4,24,70,52,61,2,47,1,1,1,2,2015-08-11,2018-11-02,2015-08-11,2018-10-16
204915,2,2,1,69,50,20617,3,11,2,50328,75516,1,4,24,70,52,61,2,47,1,1,1,2,2015-08-11,2018-11-02,2015-08-11,2018-10-16
205470,2,2,8,70,51,20302,3,11,2,45333,54898,1,4,44,71,53,2,36,48,1,1,1,2,2015-08-11,2018-11-02,2015-08-11,2018-10-16
205470,2,1,8,70,51,20302,3,11,2,45333,54898,1,4,44,71,53,2,36,48,1,1,1,2,2015-08-11,2018-11-02,2015-08-11,2018-10-16
206424,2,2,2,71,52,31315,1,23,1,30817,39064,1,4,45,72,54,62,37,49,30,3,1,1,2015-08-21,2018-11-02,2015-08-21,2018-10-16
206424,2,1,2,71,52,31315,1,23,1,30817,39064,1,4,45,72,54,62,37,49,30,3,1,1,2015-08-21,2018-11-02,2015-08-21,2018-10-16
209609,5,2,1,72,22,10251,5,13,1,28965,43152,1,8,46,73,22,63,2,50,1,25,1,1,2015-08-25,2018-11-02,2015-08-31,2018-10-16
